,song names
0,Positions
1,Forever After All
2,Mood
3,Laugh Now Cry Later
4,Blinding Lights
5,I Hope
6,WAP
7,Savage Love (Laxed - Siren Beat)
8,Lemonade
9,Holy
10,Rockstar
11,Dynamite
12,Before You Go
13,For The Night
14,Watermelon Sugar
15,Go Crazy
16,Said Sum
17,Circles
18,Be Like That
19,Whats Poppin
20,Got What I Got
21,Kings & Queens
22,More Than My Hometown
23,Come & Go
24,ily
25,One Of Them Girls
26,Lonely
27,Bang!
28,What You Know Bout Love
29,Better Together
30,Adore You
31,Wonder
32,Dreams
33,Tyler Herro
34,The Woo
35,One Beer
36,Love You Like I Used To
37,Don't Start Now
38,Roses
39,Rags2Riches
40,Lovin' On You
41,Levitating
42,Pretty Heart
43,Break My Heart
44,Some Girls
45,Happy Anywhere
46,Mood Swings
47,Everywhere But On
48,Mr. Right Now
49,I Should Probably Go To Bed
50,Franchise
51,24
52,Spicy
53,Popstar
54,You Broke Me First.
55,Midnight Sky
56,My Ex's Best Friend
57,Diamonds
58,Tap In
59,7 Summers
60,Runnin
61,Wishing Well
62,Starting Over
63,Hawai
64,Ain't Always The Cowboy
65,U 2 Luv
66,"Big, Big Plans"
67,Hit Different
68,The Other Guy
69,Damage
70,Heather
71,Don't Stop
72,Martin & Gina
73,Golden
74,B.S.
75,Back To The Streets
76,So Done
77,Without You
78,Relacion
79,Put Your Records On
80,Good Time
81,The Bigger Picture
82,Blind
83,Cold As You
84,Kacey Talk
85,Practice
86,Hole In The Bottle
87,Whole Lotta Choppas
88,You're Mines Still
89,Champagne Night
90,Greece
91,Happy Does
92,Throat Baby (Go Baby)
93,Un Dia (One Day)
94,Do It
95,Cardigan
96,Forget Me Too
97,La Toxica
98,Head & Heart
99,"Wine, Beer, Whiskey"
