,song name,song uri,song popularity,cluster
0,Wild Strawberries,spotify:track:6pGUGTIaZ1H4jKHIL4Fged,0,6
1,Papaoutai,spotify:track:09TcIuH1ZO7i4vicWKoaN2,0,7
2,Sweet Dreams (Are Made of This) - Remastered,spotify:track:1TfqLAPs4K3s2rJMoCokcS,81,4
3,Rock and Roll - 1990 Remaster,spotify:track:3w2GGz0HjIu9OcWXINRFJR,58,0
4,Talk Dirty (feat. 2 Chainz),spotify:track:4X4tgBEUiT6WqB2oTJ5ynH,56,3
5,La La La,spotify:track:36pLU2ywVeBKEF0rrKtmCB,61,6
6,Play Hard (feat. Ne-Yo & Akon),spotify:track:0BBZuOGGBj9u4X3rAfmae8,55,7
7,Feel This Moment (feat. Christina Aguilera),spotify:track:1obZSxOoO12yWkwY1kY72N,53,7
8,Love Me Again,spotify:track:1a1r5s7ivXUVQQrIvo5VSs,0,6
9,A Little Party Never Killed Nobody (All We Got),spotify:track:1mz9ZrRYu3EPVg9ZHFtjjf,57,7
10,Starships,spotify:track:2EBCVPNAG46nbgs6jXPGvv,74,7
11,We Found Love,spotify:track:1gYMxXXGANfGIGXDFf9Czv,0,4
12,Pompeii,spotify:track:0sooJd5WbNnnz5k6yO7FIQ,1,7
13,Die Young,spotify:track:6mnjcTmK8TewHfyOp3fC9C,0,4
14,Hymn,spotify:track:0wJJhRgdHhT93Z3iWdMB0T,0,6
15,Burn,spotify:track:2GgxS8bUT5G25QJTsfSv0R,70,6
16,Animals - Extended,spotify:track:28GieRAflAHypFfEimSaxa,0,2
17,Safe And Sound,spotify:track:6BnONjR7itGMEqwxKTIlRM,0,4
18,Levels - Radio Edit,spotify:track:0JhKJg5ejeQ8jq89UQtnw8,1,2
19,Titanium (feat. Sia),spotify:track:0TDLuuLlV54CkRRUOahJb4,79,6
20,Rather Be (feat. Jess Glynne),spotify:track:5HuqzFfq2ulY1iBAW5CxLe,53,7
21,Hey Now (feat. Kyle) - Single Mix,spotify:track:4jay2G7QI61dlPd8qKy5BP,26,4
22,This Is What It Feels Like,spotify:track:5GjnIpUlLGEIYk052ISOw9,65,6
23,Treasure,spotify:track:55h7vJchibLdUkxdlX3fK7,77,4
24,I Need Your Love,spotify:track:1mATmqAUKqG57iWjGE1nRa,0,7
25,Timber (feat. Ke$ha),spotify:track:3tgZ9vmhuAY9wEoNUJskzV,62,7
26,The Other Side,spotify:track:4ot2lykiAQeZC1GAnNQNJ4,54,7
27,All Night,spotify:track:15iosIuxC3C53BgsM5Uggs,58,1
28,Right Round,spotify:track:3GpbwCm3YxiWDvy29Uo3vP,73,7
29,Royals,spotify:track:3yvZ1VUso9Xi7EvIyLaj4o,1,6
30,Danza Kuduro,spotify:track:1Ozm60BmF5AUjqVSb9FJRC,0,4
31,She Makes Me Go - Radio Edit,spotify:track:1a5XzsdDDWR7HMwvmXtNlB,0,4
32,Problem,spotify:track:6xCNYRfzZtoQRo1xruPmNq,0,4
33,Applause,spotify:track:2Zj4FUsMtu9PMuJsHbGbdv,0,7
34,Sweet Nothing (feat. Florence Welch),spotify:track:24LS4lQShWyixJ0ZrJXfJ5,71,7
35,Locked out of Heaven,spotify:track:3w3y8KPTfNeOKPiqUTakBh,81,4
36,She Wolf (Falling to Pieces) [feat. Sia],spotify:track:1SgdUjvppHnIp6L7DZSnwc,68,0
37,I Love It (feat. Charli XCX),spotify:track:1rhXXcrYp9RRObN5gsmqCU,55,7
38,Troublemaker (feat. Flo Rida),spotify:track:3raIDwS1IWxjBq48cE4E8h,37,4
39,Gangnam Style,spotify:track:1PKnaWkakd5CBjNv8NyaSK,0,3
40,Let Her Go,spotify:track:7DFNE7NO0raLIUbgzY2rzm,77,6
41,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],spotify:track:3gNNXc7GUgKRPR15W77eDR,0,4
42,Feel So Close - Radio Edit,spotify:track:1gihuPhrLraKYrJMAEONyc,79,7
43,Counting Stars,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,74,4
